Beta (5Y Monthly),52-Week Change 3,S&P500 52-Week Change 3,52 Week High 3,52 Week Low 3,50-Day Moving Average 3,200-Day Moving Average 3,Avg Vol (3 month) 3,Avg Vol (10 day) 3,Shares Outstanding 5,Float,% Held by Insiders 1,% Held by Institutions 1,"Shares Short (Jan 28, 2021) 4","Short Ratio (Jan 28, 2021) 4","Short % of Float (Jan 28, 2021) 4","Short % of Shares Outstanding (Jan 28, 2021) 4","Shares Short (prior month Dec 30, 2020) 4",Forward Annual Dividend Rate 4,Forward Annual Dividend Yield 4,Trailing Annual Dividend Rate 3,Trailing Annual Dividend Yield 3,5 Year Average Dividend Yield 4,Payout Ratio 4,Dividend Date 3,Ex-Dividend Date 4,Last Split Factor 2,Last Split Date 3,Fiscal Year Ends,Most Recent Quarter (mrq),Profit Margin,Operating Margin (ttm),Return on Assets (ttm),Return on Equity (ttm),Revenue (ttm),Revenue Per Share (ttm),Quarterly Revenue Growth (yoy),Gross Profit (ttm),EBITDA,Net Income Avi to Common (ttm),Diluted EPS (ttm),Quarterly Earnings Growth (yoy),Total Cash (mrq),Total Cash Per Share (mrq),Total Debt (mrq),Total Debt/Equity (mrq),Current Ratio (mrq),Book Value Per Share (mrq),Operating Cash Flow (ttm),Levered Free Cash Flow (ttm),ticker,stockId,Shares Short 4,Short Ratio 4,Short % of Float 4,Short % of Shares Outstanding 4,Shares Short (prior month ) 4,"Shares Short (Aug 30, 2018) 4","Short Ratio (Aug 30, 2018) 4","Short % of Float (Aug 30, 2018) 4","Short % of Shares Outstanding (Aug 30, 2018) 4","Shares Short (prior month Jul 30, 2018) 4"
1.16,29.96%,16.75%,59.30,22.01,55.69,50.51,1.07M,1.01M,166.06M,165.41M,0.32%,90.68%,3.34M,2.75,2.27%,2.01%,2.66M,0.8,1.41%,0.76,1.38%,2.11,35.68%,"Feb 04, 2021","Apr 21, 2021",1489:1000,"Apr 30, 2018","Dec 30, 2020","Dec 30, 2020",11.88%,15.75%,7.12%,17.59%,3.02B,18.12,5.40%,1.07B,550.3M,357.1M,2.14,5.30%,82.1M,0.49,926.8M,44.00,1.26,12.68,573.6M,422.06M,PNR,11,,,,,,,,,,
1.13,-14.09%,16.75%,127.89,77.37,114.22,107.63,675.09k,775.91k,90.73M,90.26M,0.36%,98.93%,2.55M,3.97,3.54%,2.77%,2.98M,1.44,1.33%,1.28,1.18%,0.87,37.76%,"Mar 30, 2021","Mar 15, 2021",,,"Dec 30, 2020","Dec 30, 2020",11.56%,21.07%,11.87%,39.49%,2.72B,29.47,1.10%,1.18B,640.7M,314.3M,3.39,15.60%,480.4M,5.3,1.52B,182.98,2.20,9.09,490.3M,377.91M,ALLE,37,,,,,,,,,,
1.11,10.02%,16.75%,224.69,115.94,202.29,201.18,1.09M,1.05M,316.52M,289.51M,0.23%,80.16%,3.47M,3.64,1.17%,1.09%,3.67M,4.56,2.26%,4.42,2.22%,2.19,66.67%,"Apr 13, 2021","Mar 29, 2021",2:1,"May 25, 2006","Dec 30, 2020","Dec 30, 2020",16.77%,23.02%,11.79%,67.90%,12.57B,39.68,0.20%,5.2B,3.32B,2.11B,6.63,0.20%,2.56B,8.1,8.31B,261.16,2.52,10.04,2.81B,2.31B,ITW,45,,,,,,,,,,
1.47,95.58%,16.75%,124.50,36.64,103.83,77.29,7.23M,10.14M,917.66M,910.64M,0.41%,83.07%,10.08M,1.28,1.10%,1.10%,10.59M,0.88,0.74%,0.88,0.78%,1.36,20.81%,"Mar 17, 2021","Feb 23, 2021",2:1,"Apr 16, 2002","Oct 24, 2020","Jan 30, 2021",21.19%,26.77%,14.14%,38.31%,18.2B,19.88,24.00%,7.71B,5.25B,3.86B,4.18,26.70%,6.62B,7.24,5.45B,47.49,3.17,12.54,4.24B,2.89B,AMAT,48,,,,,,,,,,
0.99,33.33%,16.75%,26.89,10.44,24.50,19.90,3.27M,4.51M,424.3M,420.97M,0.80%,89.21%,9.87M,3.26,3.47%,2.33%,10.45M,0.92,3.78%,0.92,3.89%,3.77,,"Mar 14, 2021","Feb 24, 2021",2:1,"Sep 01, 1994","Dec 30, 2020","Dec 30, 2020",-8.20%,9.73%,3.76%,-17.31%,9.38B,22.13,2.50%,3.08B,1.27B,-770M,-1.82,-84.00%,981M,2.31,6.31B,161.79,1.28,9.13,1.43B,1.17B,NWL,52,,,,,,,,,,
0.67,-5.72%,16.75%,148.48,82.00,132.21,123.34,668.33k,519.18k,114.37M,113.57M,0.68%,93.48%,1.36M,2.07,1.66%,1.19%,1.29M,4.1,2.98%,4.00,2.91%,3.37,182.65%,"Jan 28, 2021","Jan 13, 2021",,,"Dec 30, 2020","Dec 30, 2020",15.19%,25.48%,2.38%,4.27%,1.68B,14.69,1.60%,985.21M,939.19M,250.94M,2.19,-44.30%,25.2M,0.22,4.59B,75.46,0.09,51.34,823.95M,787.96M,MAA,54,,,,,,,,,,
0.76,-21.94%,16.75%,87.19,45.43,62.42,57.42,2.59M,2.04M,372.3M,368.14M,1.51%,93.12%,9.99M,4.12,3.61%,2.68%,9.28M,2.41,3.60%,2.41,3.62%,3.26,98.37%,"Jan 14, 2021","Dec 30, 2020",2:1,"Oct 11, 2001","Dec 30, 2020","Dec 30, 2020",35.53%,30.57%,2.37%,8.71%,2.57B,6.92,-10.30%,1.66B,1.61B,910.55M,2.45,-12.70%,42.59M,0.11,8.37B,75.42,0.17,28.17,1.27B,1.14B,EQR,80,,,,,,,,,,
0.90,43.46%,16.75%,297.55,137.01,261.46,237.29,1.36M,1.42M,229.74M,228.2M,4.29%,91.68%,1.62M,1.31,0.71%,0.45%,1.93M,2.12,0.74%,1.49,0.52%,1.10,59.13%,"Mar 14, 2021","Feb 24, 2021",2:1,"Jan 22, 2012","Jun 29, 2020","Dec 30, 2020",6.54%,15.12%,7.15%,18.67%,14.19B,39.21,5.00%,10.75B,2.79B,928M,2.53,56.70%,5.56B,15.32,8.08B,148.17,1.90,14.95,3B,2.05B,EL,97,,,,,,,,,,
1.15,25.73%,16.75%,130.00,56.42,123.04,111.90,2.03M,2.07M,398.6M,397.7M,0.18%,83.12%,2.35M,1.23,0.59%,0.59%,3M,2.92,2.28%,2.92,2.33%,3.23,83.67%,"Nov 19, 2020","Nov 04, 2020",2:1,"Feb 28, 2011","Dec 30, 2020","Dec 30, 2020",7.90%,10.21%,3.53%,9.10%,17.86B,44.40,-10.50%,5.45B,2.63B,1.41B,3.49,5.10%,1.1B,2.76,8.38B,55.99,1.55,37.45,,,ETN,119,,,,,,,,,,
1.54,5.53%,16.75%,34.73,17.95,32.29,27.69,49.97M,43.15M,8.65B,8.63B,0.10%,71.10%,72.54M,1.36,0.94%,0.84%,73.55M,0.72,2.08%,0.72,2.11%,1.82,38.50%,"Mar 25, 2021","Mar 03, 2021",2:1,"Aug 29, 2004","Dec 30, 2020","Dec 30, 2020",24.11%,25.60%,0.68%,6.66%,74.21B,8.48,-6.40%,74.21B,,16.47B,1.87,-21.80%,937.1B,108.32,498.1B,,,28.72,,,BAC,134,,,,,,,,,,
1.02,62.84%,16.75%,154.93,67.68,140.74,124.60,2.51M,1.65M,245.12M,244.69M,0.19%,87.67%,6.42M,2.05,3.37%,2.62%,6.6M,,,1.51,1.10%,1.84,60.40%,"Dec 01, 2020","Nov 08, 2020",2:1,"Dec 27, 1999","Mar 27, 2020","Jan 01, 2021",20.34%,25.02%,8.92%,23.70%,3.05B,12.44,11.00%,2.14B,955.6M,620.88M,2.50,5.50%,3.32B,13.55,2.04B,78.64,3.56,10.60,1.2B,946.81M,XLNX,137,,,,,,,,,,
0.66,-12.39%,16.75%,95.19,69.10,79.03,80.15,2.89M,3.17M,505.1M,504.17M,0.14%,88.73%,7.14M,2.8,1.40%,1.40%,7.08M,0.98,1.25%,0.95,1.21%,1.10,44.84%,"Jan 03, 2021","Feb 24, 2021",1841:1000,"Jun 30, 2015","Dec 30, 2020","Dec 30, 2020",9.44%,16.09%,6.14%,13.34%,11.67B,22.93,4.70%,4.73B,2.7B,1.1B,2.13,,3.73B,7.39,6.8B,77.97,2.52,17.21,1.87B,1.04B,BAX,144,,,,,,,,,,
1.18,-3.11%,16.75%,215.70,105.54,194.78,184.76,1.72M,1.76M,298.33M,293.18M,0.66%,90.71%,3.2M,1.71,1.24%,1.07%,4.7M,0.78,0.40%,0.78,0.40%,0.10,40.00%,"Mar 25, 2021","Mar 10, 2021",2:1,"Nov 02, 2015","Dec 30, 2020","Dec 30, 2020",7.87%,16.35%,1.71%,2.18%,7.42B,24.81,-2.90%,3.8B,2.83B,584.52M,1.95,77.70%,1.95B,6.59,10.27B,37.37,1.01,91.62,2.31B,2.27B,GPN,149,,,,,,,,,,
1.61,6.51%,16.75%,55.23,23.31,52.57,46.41,1.44M,1.36M,273.3M,271.45M,0.25%,72.00%,2.61M,1.93,1.09%,0.95%,2.15M,2.24,4.07%,2.24,4.19%,3.80,44.36%,"Mar 25, 2021","Feb 25, 2021",,,"Dec 30, 2020","Dec 30, 2020",9.47%,11.49%,0.37%,8.98%,14.74B,53.67,-7.00%,6.34B,1.95B,1.4B,5.05,57.10%,3.72B,13.65,4.71B,27.89,2.27,60.59,3.74B,2.1B,PFG,150,,,,,,,,,,
1.87,1.08%,16.75%,137.58,46.56,126.16,112.20,2.28M,2.31M,324.41M,276.96M,16.59%,60.40%,7M,2.91,2.65%,2.16%,6.33M,,,0.48,0.36%,1.32,181.13%,"Mar 30, 2020","Feb 26, 2020",1061:1000,"Nov 21, 2011","Dec 30, 2020","Dec 30, 2020",-12.60%,22.04%,1.17%,-47.13%,2.12B,6.50,-63.30%,1.44B,886M,-267M,-0.82,,877M,2.7,11.35B,2638.60,0.49,1.33,1.64B,314.75M,MAR,151,,,,,,,,,,
1.22,-2.40%,16.75%,54.99,22.47,48.12,42.60,7.4M,6.07M,590.47M,588.54M,0.25%,76.04%,16.7M,2.33,3.61%,2.83%,17.39M,,,0.18,0.35%,1.04,,"Mar 24, 2020","Mar 02, 2020",3:2,"Feb 15, 2001","Dec 30, 2020","Dec 30, 2020",-33.97%,-55.74%,-10.42%,-32.86%,9.05B,16.01,-64.90%,-1.88B,-3.99B,-3.07B,-5.44,,13.33B,22.57,12.2B,137.51,2.02,15.03,-1.13B,-3.34B,LUV,185,,,,,,,,,,
1.47,77.47%,16.75%,262.55,98.04,239.06,198.00,241.48k,303.04k,53.43M,36.32M,32.91%,66.11%,876.59k,3.18,3.07%,1.64%,990.83k,,,,,,0.00%,"Dec 27, 2012","Dec 18, 2012",,,"Dec 30, 2020","Dec 30, 2020",13.29%,19.28%,5.11%,6.42%,1.2B,22.58,9.80%,539M,326.06M,159.57M,2.97,,1.39B,26.04,37.97M,1.46,10.01,48.53,285.34M,172.12M,IPGP,187,,,,,,,,,,
0.76,0.52%,16.75%,185.16,120.77,175.91,164.86,856.71k,625.53k,169.52M,168.32M,0.43%,90.38%,1.64M,2.32,1.26%,0.97%,1.93M,2.84,1.55%,2.63,1.44%,1.79,48.26%,"Apr 14, 2021","Mar 11, 2021",10000:40425,"Jan 03, 2011","Dec 30, 2020","Dec 30, 2020",12.80%,20.56%,8.85%,,7.41B,43.61,-4.30%,3.64B,1.93B,949M,5.45,69.50%,1.25B,7.42,5.7B,,1.24,-3.29,1.61B,1.28B,MSI,200,,,,,,,,,,
1.21,-28.90%,16.75%,63.86,40.01,44.01,46.98,1.08M,1.51M,136.49M,136.15M,0.75%,85.61%,5.99M,4.87,5.97%,4.39%,4.3M,0.9,2.13%,0.88,2.09%,1.17,,"Dec 14, 2020","Nov 24, 2020",2:1,"Aug 25, 1993","Dec 30, 2019","Sep 25, 2020",-0.13%,10.37%,2.89%,-0.11%,5.1B,37.41,1.90%,1.77B,916M,-6.6M,-0.05,,852.7M,6.25,3.7B,63.54,2.54,42.64,615.3M,232.56M,PRGO,219,,,,,,,,,,
1.09,31.47%,16.75%,95.11,50.06,90.63,85.00,1.84M,1.56M,527.92M,377.85M,29.14%,65.79%,5.17M,2.33,1.39%,0.98%,5.57M,,,,,,0.00%,,,3:1,"Nov 09, 2016","Dec 30, 2019","Sep 29, 2020",26.99%,35.03%,17.86%,27.30%,4.42B,8.31,9.90%,2.52B,1.61B,1.19B,2.22,16.30%,1.67B,3.17,21.73M,0.47,3.65,8.77,1.24B,940.53M,MNST,257,,,,,,,,,,
1.63,115.89%,16.75%,494.91,150.06,418.08,336.23,348.84k,527.51k,53.47M,53.03M,1.13%,90.42%,400.6k,1.45,0.86%,0.75%,459.37k,,,,,,0.00%,,,3:2,"Aug 25, 2004","Dec 30, 2020","Dec 30, 2020",11.33%,15.40%,8.49%,25.31%,4.45B,83.23,9.70%,2B,831M,504M,9.35,17.80%,168M,3.14,1.45B,67.63,0.69,40.10,962M,848.63M,ZBRA,276,,,,,,,,,,
1.59,74.28%,16.75%,188.35,48.89,168.31,122.53,1.83M,2.36M,116.63M,106.27M,0.32%,89.72%,3.4M,1.8,3.66%,3.20%,3.99M,1.54,0.99%,1.54,1.09%,1.55,43.75%,"Jan 03, 2021","Dec 09, 2020",2:1,"Mar 01, 2007","Dec 30, 2020","Dec 30, 2020",12.01%,16.29%,3.14%,10.43%,3.13B,29.41,-11.40%,996.15M,741.83M,375.76M,3.52,-6.40%,746.72M,7,3.57B,79.94,1.22,40.01,798.91M,-394.35M,ALB,321,,,,,,,,,,
1.01,2.75%,16.75%,231.36,124.60,214.03,207.11,904.06k,882.73k,285.44M,253.29M,0.53%,88.36%,2.07M,2.33,0.83%,0.73%,2.11M,1.92,0.92%,1.89,0.90%,1.06,56.76%,"Jan 14, 2021","Dec 13, 2020",2:1,"Jun 08, 2003","Dec 30, 2020","Dec 30, 2020",-10.22%,13.77%,5.20%,13.19%,11.79B,41.08,-19.80%,4.93B,2.43B,967.4M,-4.15,-30.10%,1.26B,4.41,6.99B,112.67,1.75,21.59,,,ECL,323,,,,,,,,,,
0.85,1.95%,16.75%,230.90,118.50,214.52,193.95,1.83M,1.78M,350.57M,353.51M,1.51%,91.33%,4.52M,2.51,1.28%,1.27%,3.56M,4,1.96%,0.04,0.02%,0.02,0.28%,"Mar 24, 2021","Mar 08, 2021",3:1,"Jun 04, 2007","Dec 30, 2020","Dec 30, 2020",5.27%,5.47%,3.53%,17.73%,160.55B,435.82,9.20%,24.36B,11.59B,8.46B,22.96,323.20%,11.51B,32.45,32.92B,65.33,0.77,141.84,10.35B,13.19B,CI,344,,,,,,,,,,
1.07,41.35%,16.75%,63.45,28.00,57.19,45.11,8.48M,8.01M,1.8B,1.66B,7.11%,70.38%,14.32M,1.53,0.86%,0.76%,15.83M,0.72,1.16%,0.72,1.16%,1.11,33.96%,"Feb 25, 2021","Feb 10, 2021",3:2,"May 30, 2000","Dec 30, 2020","Dec 30, 2020",28.22%,40.14%,,12.43%,11.69B,8.18,60.20%,11.34B,,3.04B,2.12,33.20%,57.56B,30.67,9.27B,29.58,,20.22,,,SCHW,350,,,,,,,,,,
1.23,10.67%,16.75%,74.25,31.22,68.92,66.41,2.13M,2.43M,337.9M,324.94M,4.38%,90.18%,7.68M,4.07,3.03%,2.27%,7.44M,0.28,0.42%,0.28,0.42%,,6.91%,"Mar 25, 2021","Feb 24, 2021",1195:1000,"Oct 08, 2020","Dec 30, 2020","Dec 30, 2020",34.81%,11.64%,2.01%,17.74%,4.63B,13.74,-33.80%,2.61B,923.4M,1.38B,4.49,530.50%,2.94B,8.71,4.43B,49.39,1.55,26.53,1.44B,1.1B,FTV,361,,,,,,,,,,
0.51,-2.33%,16.75%,74.70,43.96,61.89,62.14,3.81M,3.71M,581.48M,571.29M,1.82%,95.05%,8.48M,2.21,1.66%,1.46%,8.53M,,,,,,0.00%,,,2:1,"Feb 06, 2019","Dec 30, 2020","Dec 30, 2020",1.73%,4.04%,4.80%,9.28%,104.28B,182.72,46.40%,18.02B,5.47B,1.81B,3.12,,12.38B,21.29,16.78B,64.63,1.08,44.32,5.5B,7.26B,CNC,375,,,,,,,,,,
0.97,-1.75%,16.75%,89.68,45.07,82.62,76.69,2.16M,1.45M,391.71M,362.59M,7.40%,80.27%,6M,2.33,1.71%,1.53%,7.32M,1.96,2.44%,1.93,2.42%,2.48,,"Mar 21, 2021","Mar 08, 2021",1062:1000,"May 22, 2019","Mar 27, 2020","Dec 25, 2020",-1.89%,7.22%,3.22%,-4.93%,8.76B,22.47,-5.80%,5.82B,899.45M,-189.92M,-0.43,-25.30%,3.85B,9.84,7.3B,232.59,2.92,8.03,1.17B,1.03B,VFC,470,,,,,,,,,,
0.86,31.06%,16.75%,56.91,28.92,52.81,49.01,2.47M,2.39M,556.1M,556.28M,0.39%,82.13%,4.15M,1.53,0.75%,0.75%,5.16M,1.48,2.64%,1.44,2.58%,3.05,45.71%,"Mar 01, 2021","Feb 07, 2021",105:100,"Aug 29, 2001","Dec 30, 2020","Dec 30, 2020",2.75%,2.81%,2.41%,9.05%,64.36B,114.71,10.10%,4.45B,2.78B,1.77B,3.15,36.30%,727M,1.3,11.07B,55.08,1.50,35.97,-2.39B,-1.25B,ADM,488,,,,,,,,,,
0.41,3.10%,16.75%,146.92,94.34,132.01,137.06,7.22M,7.92M,2.46B,2.46B,0.11%,66.11%,14M,1.84,0.57%,0.57%,15.4M,3.16,2.49%,3.12,2.41%,2.91,58.94%,"Feb 15, 2021","Jan 20, 2021",2:1,"Jun 20, 2004","Jun 29, 2020","Dec 30, 2020",18.72%,24.13%,9.62%,29.51%,73.97B,29.83,8.30%,36.31B,20.8B,13.58B,5.29,3.70%,11.94B,4.85,31.1B,64.07,0.78,19.21,19.03B,13.9B,PG,541,,,,,,,,,,
0.89,101.67%,16.75%,573.99,168.65,502.07,440.09,423.41k,611.96k,85.3M,84.54M,1.05%,88.37%,802.54k,2.14,1.07%,0.94%,773.21k,,,,,,0.00%,,,2:1,"Jun 15, 2015","Dec 30, 2020","Dec 30, 2020",21.49%,25.66%,21.04%,143.63%,2.71B,31.72,19.10%,1.57B,790.52M,581.78M,6.71,93.10%,383.93M,4.49,1B,158.55,1.82,7.40,648.06M,436.7M,IDXX,543,,,,,,,,,,
0.22,14.74%,16.75%,172.56,92.00,159.63,152.15,858.77k,707.83k,181.27M,180.74M,0.25%,87.05%,1.52M,1.67,0.96%,0.84%,1.36M,2.2,1.40%,2.10,1.31%,1.78,57.53%,"Mar 01, 2021","Feb 04, 2021",2:1,"Jul 25, 1996","Dec 30, 2019","Sep 29, 2020",17.62%,34.42%,3.47%,10.42%,3.76B,20.75,6.50%,2.07B,1.9B,662M,3.65,10.00%,578M,3.19,10.79B,165.68,0.87,35.92,1.43B,-1.21B,AWK,562,,,,,,,,,,
1.06,46.86%,16.75%,181.80,93.09,172.01,154.53,4.28M,3.91M,919.35M,918.6M,0.23%,86.66%,12.05M,2.6,1.31%,1.31%,13.33M,4.08,2.29%,3.72,2.11%,2.45,62.31%,"Feb 07, 2021","Jan 28, 2021",2:1,"May 22, 2000","Dec 30, 2020","Dec 30, 2020",38.69%,40.97%,19.82%,61.84%,14.46B,15.70,21.70%,9.27B,6.86B,5.57B,5.97,57.80%,6.57B,7.14,7.12B,77.49,4.28,9.99,6.14B,4.07B,TXN,579,,,,,,,,,,
1.33,13.55%,16.75%,56.75,22.85,51.35,43.73,5.55M,5.25M,892.9M,748.1M,15.25%,77.35%,14.7M,2.75,1.95%,1.65%,11.78M,1.84,3.28%,1.82,3.31%,3.66,31.31%,"Mar 14, 2021","Feb 03, 2021",1122:1000,"Aug 06, 2017","Dec 30, 2020","Dec 30, 2020",7.97%,11.55%,0.64%,7.67%,67.84B,74.73,13.30%,19.98B,8.25B,5.19B,5.68,-73.40%,32.03B,36.21,108.78B,145.39,1.07,83.50,11.64B,4.17B,MET,619,,,,,,,,,,
0.90,10.26%,16.75%,116.73,59.29,110.13,100.94,666.34k,623.49k,130.09M,129M,0.87%,90.20%,1.38M,2.08,1.21%,1.06%,1.73M,0.84,0.75%,,,,23.03%,"Mar 25, 2021","Feb 24, 2021",2:1,"Mar 15, 2007","Oct 01, 2020","Dec 31, 2020",3.62%,7.02%,4.78%,7.66%,13.59B,103.95,0.60%,2.59B,1.13B,431.53M,,0.00%,1.38B,10.59,2.73B,44.47,1.66,,1.06B,734.97M,J,623,,,,,,,,,,
0.95,-22.45%,16.75%,236.37,136.44,167.99,159.47,385.14k,475.86k,40.49M,39.33M,2.45%,85.18%,692.05k,1.95,2.00%,1.71%,784.4k,4.56,2.50%,4.23,2.37%,1.48,24.68%,"Mar 11, 2021","Feb 24, 2021",1:2,"Dec 04, 2003","Dec 30, 2020","Dec 30, 2020",7.43%,9.47%,7.29%,39.90%,9.36B,230.57,14.30%,1.67B,1.13B,696M,17.14,67.10%,512M,12.7,1.88B,98.89,1.10,46.94,1.09B,518.5M,HII,680,,,,,,,,,,
0.69,13.15%,16.75%,129.12,65.09,117.82,112.12,831.7k,789.84k,193.65M,191.8M,1.03%,85.67%,2.15M,2.61,1.43%,1.11%,1.48M,1.92,1.60%,1.80,1.52%,2.32,42.86%,"Mar 18, 2021","Mar 03, 2021",2:1,"Jan 18, 2001","Dec 30, 2020","Dec 30, 2020",12.07%,16.54%,3.34%,14.99%,6.78B,35.51,0.50%,2.51B,1.63B,818.8M,4.20,44.40%,664.6M,3.43,5.02B,80.54,1.10,31.94,1.75B,732.99M,AJG,690,,,,,,,,,,
1.00,35.52%,16.75%,148.14,71.05,137.61,121.90,624k,557.26k,94.83M,92.75M,1.42%,91.72%,1.19M,1.73,1.64%,1.26%,1.04M,4,2.98%,3.37,2.54%,2.83,69.63%,"Jan 14, 2021","Dec 17, 2020",,,"Dec 30, 2020","Dec 30, 2020",6.92%,11.99%,,14.69%,6.66B,70.75,-0.30%,1.39B,1.21B,457.4M,4.84,-9.30%,1.05B,11.15,2.74B,85.33,,34.04,,,PKG,691,,,,,,,,,,
1.28,35.59%,16.75%,138.20,63.05,131.55,120.56,1.28M,1.43M,299.58M,297.97M,1.48%,95.65%,2.15M,1.69,0.96%,0.72%,1.86M,1.16,0.88%,1.04,0.80%,0.91,26.60%,"Apr 13, 2021","Mar 21, 2021",2:1,"Oct 09, 2014","Dec 30, 2020","Dec 30, 2020",13.99%,19.11%,8.87%,24.15%,8.6B,28.85,12.80%,2.66B,1.95B,1.2B,3.91,12.00%,1.74B,5.8,4.1B,75.12,2.38,17.99,1.59B,937.11M,APH,704,,,,,,,,,,
0.60,45.17%,16.75%,479.62,247.22,436.20,396.64,262.8k,248.44k,40.33M,39.89M,1.32%,95.14%,882.32k,3.63,2.54%,2.19%,1.01M,,,,,,0.00%,,"Jan 30, 1990",3:1,"May 14, 1990","Dec 30, 2020","Dec 30, 2020",17.45%,15.49%,4.50%,10.81%,1.12B,27.89,-1.90%,542.51M,222.62M,194.82M,4.69,15.60%,709.15M,17.55,22.18M,1.12,1.97,49.16,355.09M,287.62M,TYL,732,,,,,,,,,,
0.78,-1.04%,16.75%,284.97,197.75,256.98,244.92,1.41M,1.27M,290.56M,289.83M,0.66%,86.95%,2.15M,1.7,0.75%,0.74%,2M,3.32,1.34%,3.20,1.25%,1.34,61.66%,"Mar 30, 2021","Mar 08, 2021",2:1,"Aug 20, 1998","Sep 29, 2020","Dec 30, 2020",8.78%,17.90%,3.82%,6.97%,18.21B,64.14,25.80%,7.92B,5.44B,1.51B,5.26,260.80%,3.26B,11.24,17.82B,72.25,1.36,84.87,4.36B,3.98B,BDX,770,,,,,,,,,,
1.79,-9.94%,16.75%,44.27,18.98,37.68,32.84,809.85k,758.17k,130.26M,129.94M,0.25%,101.09%,3.8M,5.19,4.49%,2.92%,5.23M,0.8,2.04%,0.79,2.07%,1.84,70.54%,"Jan 07, 2021","Mar 24, 2021",3:1,"Jun 23, 2013","Dec 30, 2019","Sep 29, 2020",3.85%,10.03%,4.81%,8.94%,3.82B,29.24,-7.20%,1.31B,445.88M,146.86M,1.12,-14.80%,921.18M,7.07,1.88B,110.20,2.57,12.87,285.15M,270.53M,FLS,794,,,,,,,,,,
0.62,3.74%,16.75%,86.41,58.49,79.97,80.39,3.98M,3.73M,857.17M,790.31M,0.23%,80.69%,8.65M,1.7,1.08%,1.01%,8.37M,1.76,2.28%,1.75,2.22%,2.32,55.73%,"Feb 15, 2021","Jan 21, 2021",2:1,"May 15, 2013","Dec 30, 2020","Dec 30, 2020",16.36%,23.00%,15.30%,344.79%,16.47B,19.22,7.70%,10.02B,4.33B,2.7B,3.14,0.60%,925M,1.09,8.21B,746.05,0.99,0.87,3.72B,2.97B,CL,795,,,,,,,,,,
1.00,-4.78%,16.75%,25.30,17.39,22.83,22.34,4.58M,4.9M,411.2M,408.76M,0.48%,107.84%,30.45M,6.41,10.21%,7.41%,35.98M,0.94,3.93%,0.90,3.83%,3.61,50.28%,"Mar 30, 2021","Mar 15, 2021",,,"Dec 30, 2020","Dec 30, 2020",15.39%,20.77%,6.88%,"1,011.96%",4.83B,11.73,-2.70%,2.01B,1.23B,744.3M,1.79,30.80%,1.43B,3.47,3.07B,1643.73,0.27,0.45,877.5M,1.2B,WU,805,,,,,,,,,,
0.18,18.78%,16.75%,173.56,100.31,132.94,132.05,1.55M,857.23k,122.96M,122.09M,0.66%,94.61%,5.11M,3.08,5.55%,4.17%,6.15M,1.48,1.12%,1.40,1.06%,,35.00%,"Mar 25, 2021","Mar 10, 2021",12558:10000,"Jan 31, 2017","Dec 30, 2020","Dec 30, 2020",15.58%,19.18%,8.36%,106.22%,3.24B,26.19,-0.00%,2.77B,721.49M,504.45M,4.00,-45.90%,877.01M,7.13,1.98B,1762.70,0.93,0.92,935.81M,948.43M,CTXS,812,,,,,,,,,,
0.73,-3.01%,16.75%,179.46,103.11,166.49,156.80,1.73M,1.74M,427.94M,427.09M,0.10%,82.23%,4.14M,2.05,0.97%,0.97%,4.49M,3.72,2.20%,3.66,2.12%,2.09,63.43%,"Mar 31, 2021","Mar 10, 2021",1139:1000,"Sep 30, 2014","Jun 29, 2020","Dec 30, 2020",17.01%,22.68%,4.21%,44.07%,14.59B,34.03,0.70%,6.51B,3.81B,2.48B,5.77,-0.60%,1.61B,3.77,2.45B,41.53,1.06,13.78,3.08B,2.49B,ADP,875,,,,,,,,,,
1.10,46.00%,16.75%,167.45,70.06,155.75,130.80,923.64k,921.97k,172.21M,172.65M,0.81%,99.32%,4.07M,3.85,2.38%,2.37%,2.81M,0.8,0.48%,0.80,0.49%,0.73,13.93%,"Feb 10, 2021","Jan 26, 2021",,,"Dec 30, 2020","Dec 30, 2020",28.30%,36.65%,0.82%,9.85%,3.76B,21.87,20.40%,3.76B,,1.01B,5.81,20.00%,5.09B,29.26,13.53B,,,58.61,,,FRC,967,,,,,,,,,,
0.31,5.48%,16.75%,839.77,477.87,716.07,744.78,522.07k,682.01k,89.1M,88.66M,0.45%,96.45%,984.72k,2.13,1.27%,1.11%,1.06M,11.48,1.69%,10.64,1.55%,1.83,254.55%,"Mar 16, 2021","Feb 22, 2021",1:32,"Dec 30, 2002","Dec 30, 2020","Dec 30, 2020",6.16%,18.59%,2.73%,3.80%,6B,68.40,12.20%,2.92B,2.54B,369.78M,4.18,-59.20%,1.6B,18.01,13.92B,130.93,1.28,119.33,2.31B,2.47B,EQIX,981,,,,,,,,,,
2.87,-36.94%,16.75%,44.65,7.03,24.42,20.34,19.53M,16.76M,315.64M,274.28M,0.69%,46.28%,42.94M,2.83,14.78%,13.61%,46.92M,,,,,,0.00%,,,,,"Dec 30, 2019","Sep 29, 2020",-114.59%,-39.93%,-4.12%,-60.85%,2.75B,11.74,-99.70%,2.8B,-394.11M,-3.15B,-13.45,,2.36B,8.55,11.16B,272.95,1.14,14.83,-1.54B,-2.81B,NCLH,986,,,,,,,,,,
