endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker,type
2020-03-31,,,99000000,2193000000,183000000,-27000000,981000000,413000000,413000000,111000000,-255000000,,,,-84000000,2790000000,2377000000,1809000000,-314000000,,183000000,183000000,7273,EIX,quarterly
2020-12-31,,,994000000,9000000,760000000,,1583000000,1236000000,1236000000,,-189000000,,,,234000000,2825000000,1589000000,1242000000,-242000000,,760000000,760000000,7311,CSX,quarterly
2020-09-30,,,968000000,14000000,736000000,,1498000000,1150000000,1150000000,,-187000000,,,,232000000,2648000000,1498000000,1150000000,-182000000,,736000000,736000000,7311,CSX,quarterly
2020-06-30,,,652000000,13000000,499000000,,1201000000,857000000,857000000,,-191000000,,,,153000000,2255000000,1398000000,1054000000,-205000000,,499000000,499000000,7311,CSX,quarterly
2020-03-31,,,1013000000,17000000,770000000,,1532000000,1188000000,1188000000,,-187000000,,,,243000000,2855000000,1667000000,1323000000,-175000000,,770000000,770000000,7311,CSX,quarterly
2020-12-31,,,235900000,326400000,165700000,,384300000,276900000,276900000,17400000,-39100000,,,,69600000,693400000,416500000,309100000,-41000000,,166300000,165700000,7322,KSU,quarterly
2020-09-30,,,238700000,325800000,189800000,,363200000,274000000,274000000,17400000,-39500000,,,,48500000,659600000,385600000,296400000,-35300000,,190200000,189700000,7322,KSU,quarterly
2020-06-30,,,151100000,324500000,109700000,,283700000,190900000,190900000,3500000,-38100000,,,,40800000,547900000,357000000,264200000,-39800000,,110300000,109700000,7322,KSU,quarterly
2020-03-31,,,197500000,323900000,151800000,,389000000,294800000,294800000,4800000,-34200000,,,,45200000,731700000,436900000,342700000,-97300000,,152300000,151700000,7322,KSU,quarterly
2020-12-31,,,1793000000,,1380000000,,3089000000,2019000000,2019000000,513000000,-279000000,,,,413000000,5141000000,3122000000,2052000000,-226000000,,1380000000,1380000000,7335,UNP,quarterly
2020-09-30,,,1773000000,,1363000000,,2897000000,2043000000,2043000000,299000000,-295000000,,,,410000000,4919000000,2876000000,2022000000,-270000000,,1363000000,1363000000,7335,UNP,quarterly
2020-06-30,,,1496000000,,1132000000,,2451000000,1665000000,1665000000,235000000,-289000000,,,,364000000,4244000000,2579000000,1793000000,-169000000,,1132000000,1132000000,7335,UNP,quarterly
2020-03-31,,,1918000000,,1474000000,,2996000000,2151000000,2151000000,298000000,-278000000,,,,444000000,5229000000,3078000000,2233000000,-233000000,,1474000000,1474000000,7335,UNP,quarterly
2020-11-30,1601000000,,2972000000,699000000,2442000000,2160000000,7861000000,3680000000,3680000000,75000000,-601000000,,,,530000000,9800000000,6120000000,1939000000,-708000000,,2442000000,2442000000,7409,ORCL,quarterly
2020-08-31,1589000000,,2595000000,649000000,2251000000,2149000000,7487000000,3388000000,3388000000,16000000,-614000000,,,,344000000,9367000000,5979000000,1880000000,-793000000,,2251000000,2251000000,7409,ORCL,quarterly
2020-05-31,1479000000,,3696000000,643000000,3116000000,2208000000,8470000000,4398000000,4398000000,20000000,-581000000,,,,580000000,10439000000,6041000000,1969000000,-702000000,,3116000000,3116000000,7409,ORCL,quarterly
2020-02-29,1500000000,,3076000000,646000000,2571000000,2337000000,7832000000,3592000000,3592000000,3000000,-457000000,,,,505000000,9796000000,6204000000,1964000000,-516000000,,2571000000,2571000000,7409,ORCL,quarterly
2021-01-31,,,3756000000,,2857000000,6187000000,10831000000,4083000000,4083000000,,-337000000,,,,899000000,32261000000,28178000000,21430000000,-327000000,,2857000000,2857000000,7454,HD,quarterly
2020-11-01,,,4523000000,,3432000000,5663000000,11456000000,5265000000,5265000000,,-340000000,,,,1091000000,33536000000,28271000000,22080000000,-742000000,,3432000000,3432000000,7454,HD,quarterly
2020-08-02,,,5730000000,,4332000000,6355000000,12941000000,6067000000,6067000000,,-346000000,,,,1398000000,38053000000,31986000000,25112000000,-337000000,,4332000000,4332000000,7454,HD,quarterly
2020-05-03,,,2969000000,,2245000000,5829000000,9625000000,3276000000,3276000000,,-324000000,,,,724000000,28260000000,24984000000,18635000000,-307000000,,2245000000,2245000000,7454,HD,quarterly
2020-12-31,,,5541000000,1640000000,4506000000,3172000000,9797000000,0,5561000000,566000000,,,,,1035000000,11448000000,5887000000,1651000000,-20000000,,4506000000,4358000000,7458,GS,quarterly
2020-09-30,,,4299000000,1668000000,3367000000,3720000000,9252000000,0,4555000000,509000000,,,,,932000000,10503000000,5948000000,1251000000,-256000000,,3367000000,3229000000,7458,GS,quarterly
2020-06-30,,,1291000000,1025000000,373000000,5111000000,10415000000,0,4251000000,554000000,,,,,918000000,11705000000,7454000000,1290000000,-2960000000,,373000000,187000000,7458,GS,quarterly
2020-03-31,,,1348000000,1122000000,1213000000,3973000000,6510000000,0,1532000000,568000000,,,,,135000000,7806000000,6274000000,1296000000,-184000000,,1213000000,1116000000,7458,GS,quarterly
2020-12-31,12900000,,118800000,,98400000,71600000,211100000,124700000,124700000,1900000,-2100000,,,,20400000,580200000,455500000,369100000,-5900000,,98400000,98400000,7486,WST,quarterly
2020-09-30,12500000,,103400000,,82300000,75900000,194600000,106700000,106700000,-500000,-2100000,,,,21100000,548000000,441300000,353400000,-3300000,,82300000,82300000,7486,WST,quarterly
2020-06-30,10800000,,107200000,,91200000,77500000,195100000,108200000,108200000,-1400000,-2000000,,,,16000000,527200000,419000000,332100000,-1000000,,91200000,91200000,7486,WST,quarterly
