endDate,researchDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,netIncome,sellingGeneralAdministrative,grossProfit,ebit,operatingIncome,otherOperatingExpenses,interestExpense,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalRevenue,totalOperatingExpenses,costOfRevenue,totalOtherIncomeExpenseNet,discontinuedOperations,netIncomeFromContinuingOps,netIncomeApplicableToCommonShares,stockId,ticker
2019-03-31,87552000,,-128932000,,-129065000,39466000,0,-127018000,-127018000,,-7530000,,,,133000,0,127018000,0,-1914000,,-129065000,-129065000,49415,SIOX
2018-03-31,141412000,,-220652000,,-221573000,71906000,0,-213318000,-213318000,,-7545000,,,,921000,0,213318000,0,-7334000,,-221573000,-221573000,49415,SIOX
2017-03-31,134778000,,-182011000,,-180951000,45721000,0,-180499000,-180499000,,-1143000,,,,-1060000,0,180499000,0,-1512000,,-180951000,-180951000,49415,SIOX
2019-12-31,,,85758226,,85758226,3077752,10781542,7703790,7703790,,,,,,0,10781542,3077752,0,78054436,,85758226,85758226,49418,RFI
2018-12-31,,,-14826126,,-14826126,2878739,10859011,7980272,7980272,,,,,,0,10859011,2878739,0,-22806398,,-14826126,-14826126,49418,RFI
2017-12-31,,,26747665,,26747665,3064910,10939813,7874903,7874903,,,,,,0,10939813,3064910,0,18872762,,26747665,26747665,49418,RFI
2016-12-31,,,18446385,,18446385,3037387,11630703,8593316,8593316,,,,,,0,11630703,3037387,0,9853069,,18446385,18446385,49418,RFI
2020-12-31,,,685200000,41900000,520100000,1322500000,2390100000,676800000,676800000,,-141600000,,,,159000000,4127500000,3450700000,1737400000,8400000,,526200000,520100000,49419,EFX
2019-12-31,,,-433000000,44300000,-398800000,1185900000,1985900000,468900000,468900000,,-111700000,,,,-40200000,3507600000,3038700000,1521700000,-901900000,,-392800000,-398800000,49419,EFX
2018-12-31,,,356300000,47900000,299800000,1232900000,1971700000,428400000,428400000,,-103500000,,,,50000000,3412100000,2983700000,1440400000,-72100000,,306300000,299800000,49419,EFX
2017-12-31,,,746600000,64600000,587300000,1089200000,2151500000,774500000,774500000,,-92800000,,,,148600000,3362200000,2587700000,1210700000,-27900000,,598000000,587300000,49419,EFX
2020-12-31,,,32359000,,21298000,100045000,147869000,47824000,47824000,,-7022000,,,,11576000,916498000,868674000,768629000,-15465000,515000,20783000,21298000,49421,GLT
2019-12-31,,,-34453000,,-21541000,88879000,147542000,57943000,57943000,,-10408000,,,,-9242000,927673000,869730000,780131000,-92396000,3670000,-25211000,-21541000,49421,GLT
2018-12-31,,,7275000,,-177604000,99344000,130407000,30368000,30368000,,-15609000,,,,7723000,866286000,835918000,735879000,-23093000,-177156000,-448000,-177604000,49421,GLT
2017-12-31,,,19467000,,7914000,117803000,143589000,25938000,25938000,,-13317000,,,,25079000,800362000,774424000,656773000,-6471000,13526000,-5612000,7914000,49421,GLT
2020-08-31,,,-1939000,3729000,-4145000,187876000,208618000,20742000,20742000,,-8669000,,,,166000,1712343000,1691601000,1503725000,-22681000,-95000,-2105000,-4145000,49422,SCHN
2019-08-31,,,76240000,4332000,56345000,191405000,274246000,82841000,82841000,,-8266000,,,,17670000,2132781000,2049940000,1858535000,-6601000,-248000,58570000,56345000,49422,SCHN
2018-08-31,,,141853000,4032000,156451000,210877000,354230000,143353000,143353000,,-8983000,,,,-17590000,2364715000,2221362000,2010485000,-1500000,346000,159443000,156451000,49422,SCHN
2017-08-31,,,48690000,3907000,44511000,171570000,223083000,51513000,51513000,,-8081000,,,,1322000,1687591000,1636078000,1464508000,-2823000,-390000,47368000,44511000,49422,SCHN
2019-12-31,,,1525651000,16756000,1520534000,70783000,2119587000,1534686000,1534686000,1200000,-45641000,,,,0,2916370000,1381684000,796783000,-9035000,,1525651000,1272767000,49424,PSA
2018-12-31,,,1717223000,25250000,1711031000,117620000,2118053000,1515687000,1515687000,1100000,-32542000,,,,0,2857775000,1342088000,739722000,201536000,,1717223000,1488900000,49424,PSA
